Ticker,Sector,Industry
COO,Healthcare,Medical Instruments & Supplies
APH,Technology,Electronic Components
MORF,Other,Other
CCB,Financial Services,Banks—Regional
KODK,Industrials,Specialty Business Services
GWW,Industrials,Industrial Distribution
CLPR,Real Estate,REIT—Residential
FTDR,Consumer Cyclical,Personal Services
SENEA,Consumer Defensive,Packaged Foods
LNW,Consumer Cyclical,Gambling
PGTI,Other,Other
SIBN,Healthcare,Medical Devices
ACLS,Technology,Semiconductor Equipment & Materials
LWLG,Basic Materials,Specialty Chemicals
BLMN,Consumer Cyclical,Restaurants
CLDX,Healthcare,Biotechnology
PIPR,Financial Services,Capital Markets
BK,Financial Services,Banks—Diversified
TNET,Industrials,Staffing & Employment Services
GATX,Industrials,Rental & Leasing Services
OOMA,Technology,Software—Application
DSGR,Industrials,Industrial Distribution
TROX,Basic Materials,Chemicals
RPHM,Healthcare,Biotechnology
BATRA,Communication Services,Entertainment
ASTS,Technology,Communication Equipment
FOLD,Healthcare,Biotechnology
CIVI,Energy,Oil & Gas E&P
HAYN,Industrials,Metal Fabrication
RCKT,Healthcare,Biotechnology
XERS,Healthcare,Biotechnology
FUBO,Communication Services,Broadcasting
GMRE,Real Estate,REIT—Healthcare Facilities
IDXX,Healthcare,Diagnostics & Research
WYNN,Consumer Cyclical,Resorts & Casinos
MPC,Energy,Oil & Gas Refining & Marketing
REFI,Real Estate,REIT—Mortgage
WKHS,Consumer Cyclical,Auto Manufacturers
SRE,Utilities,Utilities—Diversified
NTRS,Financial Services,Asset Management
ALVR,Healthcare,Biotechnology
JBI,Industrials,Building Products & Equipment
AVDX,Technology,Software—Infrastructure
CNP,Utilities,Utilities—Regulated Electric
HPK,Energy,Oil & Gas E&P
MBCN,Financial Services,Banks—Regional
NXDT,Real Estate,REIT—Diversified
CRMD,Healthcare,Biotechnology
APG,Industrials,Engineering & Construction
ONEW,Consumer Cyclical,Specialty Retail
SSTI,Technology,Software—Application
NHI,Real Estate,REIT—Healthcare Facilities
BSIG,Financial Services,Asset Management
PLAB,Technology,Semiconductor Equipment & Materials
MTSI,Technology,Semiconductors
QNST,Communication Services,Advertising Agencies
CTLP,Technology,Information Technology Services
TYRA,Healthcare,Biotechnology
AIV,Real Estate,REIT—Residential
DCPH,Other,Other
TIPT,Financial Services,Insurance—Specialty
LCNB,Financial Services,Banks—Regional
RBCAA,Financial Services,Banks—Regional
TTSH,Consumer Cyclical,Home Improvement Retail
RNST,Financial Services,Banks—Regional
OPCH,Healthcare,Medical Care Facilities
IONQ,Technology,Computer Hardware
NVEE,Industrials,Engineering & Construction
IRM,Real Estate,REIT—Specialty
GBTG,Technology,Software—Application
VSH,Technology,Semiconductors
TEL,Technology,Electronic Components
EQIX,Real Estate,REIT—Specialty
CCO,Communication Services,Advertising Agencies
CDRE,Industrials,Aerospace & Defense
CHCT,Real Estate,REIT—Healthcare Facilities
HSII,Industrials,Staffing & Employment Services
MYFW,Financial Services,Banks—Regional
ATEC,Healthcare,Medical Devices
FOX,Communication Services,Entertainment
AVXL,Healthcare,Biotechnology
GMS,Industrials,Building Products & Equipment
EQT,Energy,Oil & Gas E&P
HP,Energy,Oil & Gas Drilling
BYON,Consumer Cyclical,Internet Retail
LVWR,Consumer Cyclical,Auto Manufacturers
PCYO,Utilities,Utilities—Regulated Water
GHC,Consumer Defensive,Education & Training Services
PMTS,Financial Services,Credit Services
AXP,Financial Services,Credit Services
ACIW,Technology,Software—Infrastructure
LLAP,Industrials,Aerospace & Defense
AMR,Basic Materials,Coking Coal
CRDO,Technology,Semiconductors
GCMG,Financial Services,Asset Management
PFIS,Financial Services,Banks—Regional
VRTS,Financial Services,Asset Management
GSHD,Financial Services,Insurance—Diversified
BBIO,Healthcare,Biotechnology
WKC,Energy,Oil & Gas Refining & Marketing
IMXI,Technology,Software—Infrastructure
ASML,Technology,Semiconductor Equipment & Materials
CURV,Consumer Cyclical,Apparel Retail
RBOT,Healthcare,Medical Devices
FARO,Technology,Scientific & Technical Instruments
DORM,Consumer Cyclical,Auto Parts
SFBS,Financial Services,Banks—Regional
GTY,Real Estate,REIT—Retail
ORGN,Basic Materials,Chemicals
CDP,Real Estate,REIT—Office
PCT,Industrials,Pollution & Treatment Controls
LICY,Industrials,Waste Management
PRLB,Industrials,Metal Fabrication
ISPR,Consumer Defensive,Tobacco
BAND,Technology,Software—Infrastructure
BMI,Technology,Scientific & Technical Instruments
RVNC,Healthcare,Biotechnology
APGE,Healthcare,Biotechnology
ADEA,Technology,Software—Application
BDN,Real Estate,REIT—Office
BFLY,Healthcare,Medical Devices
NL,Industrials,Security & Protection Services
STBA,Financial Services,Banks—Regional
SUPN,Healthcare,Drug Manufacturers—Specialty & Generic
TCBX,Financial Services,Banks—Regional
CCS,Real Estate,Real Estate—Development
ABCB,Financial Services,Banks—Regional
IBRX,Healthcare,Biotechnology
SYY,Consumer Defensive,Food Distribution
IR,Industrials,Specialty Industrial Machinery
HSTM,Healthcare,Health Information Services
TBI,Industrials,Staffing & Employment Services
ADUS,Healthcare,Medical Care Facilities
PLX,Healthcare,Biotechnology
DSGN,Healthcare,Biotechnology
IPG,Communication Services,Advertising Agencies
SOI,Energy,Oil & Gas Equipment & Services
SSBK,Financial Services,Banks—Regional
CMI,Industrials,Specialty Industrial Machinery
CCBG,Financial Services,Banks—Regional
GLW,Technology,Electronic Components
RMAX,Real Estate,Real Estate Services
UBSI,Financial Services,Banks—Regional
AVPT,Technology,Software—Infrastructure
PCG,Utilities,Utilities—Regulated Electric
GPMT,Real Estate,REIT—Mortgage
DHC,Real Estate,REIT—Healthcare Facilities
PEG,Utilities,Utilities—Regulated Electric
AXNX,Healthcare,Medical Devices
ALT,Healthcare,Biotechnology
PGNY,Healthcare,Health Information Services
ASO,Consumer Cyclical,Specialty Retail
INCY,Healthcare,Biotechnology
BFS,Real Estate,REIT—Retail
KIND,Communication Services,Internet Content & Information
CPT,Real Estate,REIT—Residential
SBUX,Consumer Cyclical,Restaurants
WSR,Real Estate,REIT—Retail
SKY,Consumer Cyclical,Residential Construction
ESQ,Financial Services,Banks—Regional
APA,Energy,Oil & Gas E&P
HRI,Industrials,Rental & Leasing Services
LYTS,Technology,Electronic Components
KAR,Consumer Cyclical,Auto & Truck Dealerships
LYV,Communication Services,Entertainment
CHEF,Consumer Defensive,Food Distribution
QCOM,Technology,Semiconductors
NTST,Real Estate,REIT—Retail
MATW,Industrials,Conglomerates
AEL,Other,Other
BHR,Real Estate,REIT—Hotel & Motel
ALL,Financial Services,Insurance—Property & Casualty
STRO,Healthcare,Biotechnology
DGII,Technology,Communication Equipment
OIS,Energy,Oil & Gas Equipment & Services
RYI,Industrials,Metal Fabrication
SLRN,Healthcare,Biotechnology
TAST,Other,Other
FDP,Consumer Defensive,Farm Products
HQI,Industrials,Staffing & Employment Services
CECO,Industrials,Pollution & Treatment Controls
NVRI,Industrials,Waste Management
PJT,Financial Services,Capital Markets
KELYA,Industrials,Staffing & Employment Services
CRVL,Financial Services,Insurance Brokers
BANC,Financial Services,Banks—Regional
CTAS,Industrials,Specialty Business Services
JBL,Technology,Electronic Components
SCHL,Communication Services,Publishing
DXCM,Healthcare,Medical Devices
KROS,Healthcare,Biotechnology
WASH,Financial Services,Banks—Regional
VLTO,Industrials,Pollution & Treatment Controls
DJCO,Technology,Software—Application
MCBC,Other,Other
AEHR,Technology,Semiconductor Equipment & Materials
HMST,Financial Services,Banks—Regional
ARE,Real Estate,REIT—Office
CHTR,Communication Services,Telecom Services
AIR,Industrials,Aerospace & Defense
ETN,Industrials,Specialty Industrial Machinery
PUMP,Energy,Oil & Gas Equipment & Services
HASI,Real Estate,Real Estate Services
OMER,Healthcare,Biotechnology
HON,Industrials,Conglomerates
ATGE,Consumer Defensive,Education & Training Services
EFC,Real Estate,REIT—Mortgage
PTLO,Consumer Cyclical,Restaurants
ARM,Technology,Semiconductors
DLTR,Consumer Defensive,Discount Stores
AFRI,Consumer Defensive,Farm Products
SDRL,Energy,Oil & Gas Drilling
BBCP,Industrials,Engineering & Construction
SM,Energy,Oil & Gas E&P
TRNS,Industrials,Industrial Distribution
LIN,Basic Materials,Specialty Chemicals
NTAP,Technology,Computer Hardware
AESI,Energy,Oil & Gas Equipment & Services
SPRY,Healthcare,Biotechnology
CRSR,Technology,Computer Hardware
GEV,Utilities,Utilities—Renewable
RUSHA,Consumer Cyclical,Auto & Truck Dealerships
INDB,Financial Services,Banks—Regional
CEIX,Energy,Thermal Coal
FSS,Industrials,Pollution & Treatment Controls
LBC,Other,Other
GBCI,Financial Services,Banks—Regional
MDLZ,Consumer Defensive,Confectioners
OFG,Financial Services,Banks—Regional
RAPT,Healthcare,Biotechnology
VATE,Industrials,Engineering & Construction
IRWD,Healthcare,Drug Manufacturers—Specialty & Generic
SPOK,Healthcare,Health Information Services
CIO,Real Estate,REIT—Office
GEN,Technology,Software—Infrastructure
CSGP,Real Estate,Real Estate Services
ROL,Consumer Cyclical,Personal Services
TRGP,Energy,Oil & Gas Midstream
TRS,Consumer Cyclical,Packaging & Containers
CEG,Utilities,Utilities—Renewable
GFF,Industrials,Conglomerates
HIMS,Consumer Defensive,Household & Personal Products
ODFL,Industrials,Trucking
PGEN,Healthcare,Biotechnology
SCVL,Consumer Cyclical,Apparel Retail
ANGO,Healthcare,Medical Instruments & Supplies
UAL,Industrials,Airlines
SLCA,Other,Other
CBZ,Industrials,Specialty Business Services
KREF,Real Estate,REIT—Mortgage
NOVT,Technology,Scientific & Technical Instruments
PRU,Financial Services,Insurance—Life
MCHP,Technology,Semiconductors
SKWD,Financial Services,Insurance—Property & Casualty
SJM,Consumer Defensive,Packaged Foods
INTU,Technology,Software—Application
CEVA,Technology,Semiconductors
LAZR,Consumer Cyclical,Auto Parts
KTOS,Industrials,Aerospace & Defense
PLPC,Industrials,Electrical Equipment & Parts
VZIO,Technology,Consumer Electronics
ENPH,Technology,Solar
WW,Consumer Cyclical,Personal Services
AEIS,Industrials,Electrical Equipment & Parts
WRLD,Financial Services,Credit Services
CENTA,Consumer Defensive,Packaged Foods
ALXO,Healthcare,Biotechnology
BFST,Financial Services,Banks—Regional
BXC,Industrials,Industrial Distribution
TELA,Healthcare,Medical Devices
MYGN,Healthcare,Diagnostics & Research
REPX,Energy,Oil & Gas E&P
CRWD,Technology,Software—Infrastructure
STEL,Financial Services,Banks—Regional
BHIL,Basic Materials,Agricultural Inputs
DHT,Energy,Oil & Gas Midstream
NKE,Consumer Cyclical,Footwear & Accessories
DCO,Industrials,Aerospace & Defense
NI,Utilities,Utilities—Regulated Gas
CVLG,Industrials,Trucking
BOOM,Industrials,Conglomerates
PSFE,Technology,Software—Infrastructure
SFNC,Financial Services,Banks—Regional
ASB,Financial Services,Banks—Regional
CYRX,Industrials,Integrated Freight & Logistics
DHI,Consumer Cyclical,Residential Construction
NABL,Technology,Information Technology Services
ATOM,Technology,Semiconductor Equipment & Materials
GM,Consumer Cyclical,Auto Manufacturers
MQ,Technology,Software—Infrastructure
VAL,Energy,Oil & Gas Equipment & Services
DBRG,Real Estate,Real Estate Services
SMBC,Financial Services,Banks—Regional
SYNA,Technology,Semiconductors
FWRD,Industrials,Integrated Freight & Logistics
SAMG,Financial Services,Asset Management
FAST,Industrials,Industrial Distribution
OSCR,Healthcare,Healthcare Plans
BF-B,Consumer Defensive,Beverages—Wineries & Distilleries
ENVX,Industrials,Electrical Equipment & Parts
UVE,Financial Services,Insurance—Property & Casualty
HLIT,Technology,Communication Equipment
IEX,Industrials,Specialty Industrial Machinery
TYL,Technology,Software—Application
FITB,Financial Services,Banks—Regional
EHTH,Financial Services,Insurance Brokers
ABT,Healthcare,Medical Devices
CMPX,Healthcare,Biotechnology
RJF,Financial Services,Asset Management
GIC,Industrials,Industrial Distribution
NRIX,Healthcare,Biotechnology
LNT,Utilities,Utilities—Regulated Electric
BEAM,Healthcare,Biotechnology
SMRT,Technology,Software—Application
KNSA,Healthcare,Drug Manufacturers—Specialty & Generic
NWN,Utilities,Utilities—Regulated Gas
ACRV,Healthcare,Biotechnology
GRWG,Consumer Cyclical,Specialty Retail
HCC,Basic Materials,Coking Coal
CYH,Healthcare,Medical Care Facilities
DNMR,Basic Materials,Specialty Chemicals
UVSP,Financial Services,Banks—Regional
LINC,Consumer Defensive,Education & Training Services
DDOG,Technology,Software—Application
GPRO,Technology,Consumer Electronics
CSTL,Healthcare,Diagnostics & Research
SKYX,Industrials,Electrical Equipment & Parts
JXN,Financial Services,Insurance—Life
HTBI,Financial Services,Banks—Regional
PAYC,Technology,Software—Application
UMBF,Financial Services,Banks—Regional
KLTR,Technology,Software—Application
ACET,Healthcare,Biotechnology
EFSC,Financial Services,Banks—Regional
ACHR,Industrials,Aerospace & Defense
UIS,Technology,Information Technology Services
PR,Energy,Oil & Gas E&P
IVZ,Financial Services,Asset Management
FTV,Technology,Scientific & Technical Instruments
FFWM,Financial Services,Banks—Regional
BKD,Healthcare,Medical Care Facilities
ANDE,Consumer Defensive,Food Distribution
PRFT,Technology,Information Technology Services
MUR,Energy,Oil & Gas E&P
MOH,Healthcare,Healthcare Plans
AGX,Industrials,Engineering & Construction
HPP,Real Estate,REIT—Office
PDFS,Technology,Software—Application
USB,Financial Services,Banks—Regional
ARCH,Basic Materials,Coking Coal
WM,Industrials,Waste Management
DECK,Consumer Cyclical,Footwear & Accessories
OFIX,Healthcare,Medical Devices
BLX,Financial Services,Banks—Regional
F,Consumer Cyclical,Auto Manufacturers
WIRE,Other,Other
ADRO,Other,Other
ATEX,Communication Services,Telecom Services
MCB,Financial Services,Banks—Regional
GNK,Industrials,Marine Shipping
KMT,Industrials,Tools & Accessories
OBIO,Healthcare,Biotechnology
USCB,Financial Services,Banks—Regional
CARM,Healthcare,Biotechnology
SD,Energy,Oil & Gas E&P
LANC,Consumer Defensive,Packaged Foods
EFX,Industrials,Consulting Services
AADI,Healthcare,Biotechnology
BMEA,Healthcare,Biotechnology
BANF,Financial Services,Banks—Regional
NYMT,Real Estate,REIT—Mortgage
MRSN,Healthcare,Biotechnology
SHO,Real Estate,REIT—Hotel & Motel
HY,Industrials,Farm & Heavy Construction Machinery
BSVN,Financial Services,Banks—Regional
OMCL,Healthcare,Health Information Services
ETD,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
DMRC,Technology,Information Technology Services
RXO,Industrials,Trucking
ADSK,Technology,Software—Application
BWFG,Financial Services,Banks—Regional
KFRC,Industrials,Staffing & Employment Services
WT,Financial Services,Asset Management
DRS,Industrials,Aerospace & Defense
LLY,Healthcare,Drug Manufacturers—General
NDSN,Industrials,Specialty Industrial Machinery
CBAN,Financial Services,Banks—Regional
POWI,Technology,Semiconductors
ROST,Consumer Cyclical,Apparel Retail
KMB,Consumer Defensive,Household & Personal Products
AAON,Industrials,Building Products & Equipment
GNRC,Industrials,Specialty Industrial Machinery
SCSC,Technology,Electronics & Computer Distribution
PPTA,Basic Materials,Other Precious Metals & Mining
NJR,Utilities,Utilities—Regulated Gas
IIIV,Technology,Software—Infrastructure
MGPI,Consumer Defensive,Beverages—Wineries & Distilleries
GH,Healthcare,Diagnostics & Research
TH,Industrials,Specialty Business Services
ACLX,Healthcare,Biotechnology
NOTE,Technology,Information Technology Services
EMR,Industrials,Specialty Industrial Machinery
FPI,Real Estate,REIT—Specialty
SHW,Basic Materials,Specialty Chemicals
DUOL,Technology,Software—Application
RES,Energy,Oil & Gas Equipment & Services
PLL,Basic Materials,Other Industrial Metals & Mining
RYZB,Other,Other
FNKO,Consumer Cyclical,Leisure
CAC,Financial Services,Banks—Regional
LGFA,Other,Other
FBP,Financial Services,Banks—Regional
RPAY,Technology,Software—Infrastructure
PWOD,Financial Services,Banks—Regional
DH,Healthcare,Health Information Services
TSVT,Healthcare,Biotechnology
JPM,Financial Services,Banks—Diversified
VAXX,Healthcare,Biotechnology
APOG,Industrials,Building Products & Equipment
UPST,Financial Services,Credit Services
WISH,Other,Other
AVD,Basic Materials,Agricultural Inputs
ADNT,Consumer Cyclical,Auto Parts
SVRA,Healthcare,Biotechnology
LAW,Technology,Software—Application
MODG,Consumer Cyclical,Leisure
PGRE,Real Estate,REIT—Office
SAH,Consumer Cyclical,Auto & Truck Dealerships
STER,Technology,Software—Infrastructure
VECO,Technology,Semiconductor Equipment & Materials
FMC,Basic Materials,Agricultural Inputs
ALNT,Technology,Electronic Components
RLAY,Healthcare,Biotechnology
OPRX,Healthcare,Health Information Services
AAT,Real Estate,REIT—Diversified
LNN,Industrials,Farm & Heavy Construction Machinery
CPSI,Other,Other
BYND,Consumer Defensive,Packaged Foods
NECB,Financial Services,Banks—Regional
EGY,Energy,Oil & Gas E&P
GLNG,Energy,Oil & Gas Midstream
MMC,Financial Services,Insurance Brokers
ON,Technology,Semiconductors
SG,Consumer Cyclical,Restaurants
HWKN,Basic Materials,Specialty Chemicals
FRT,Real Estate,REIT—Retail
OPI,Real Estate,REIT—Office
DOLE,Consumer Defensive,Farm Products
TCI,Real Estate,Real Estate Services
AMCX,Communication Services,Entertainment
YELP,Communication Services,Internet Content & Information
AMWL,Healthcare,Health Information Services
NGM,Other,Other
EPC,Consumer Defensive,Household & Personal Products
INSW,Energy,Oil & Gas Midstream
INOD,Technology,Information Technology Services
FC,Consumer Defensive,Education & Training Services
TRVI,Healthcare,Biotechnology
PRA,Financial Services,Insurance—Property & Casualty
EVLV,Industrials,Security & Protection Services
EVBN,Financial Services,Banks—Regional
ASGN,Technology,Information Technology Services
EU,Energy,Uranium
AKYA,Healthcare,Medical Instruments & Supplies
VBTX,Financial Services,Banks—Regional
MLYS,Healthcare,Biotechnology
TWO,Real Estate,REIT—Mortgage
ME,Healthcare,Diagnostics & Research
HEES,Industrials,Rental & Leasing Services
MTD,Healthcare,Diagnostics & Research
ANF,Consumer Cyclical,Apparel Retail
ADPT,Healthcare,Biotechnology
BLK,Financial Services,Asset Management
DY,Industrials,Engineering & Construction
INBX,Healthcare,Biotechnology
LQDT,Consumer Cyclical,Internet Retail
TTEC,Technology,Information Technology Services
TCMD,Healthcare,Medical Devices
VC,Consumer Cyclical,Auto Parts
DRI,Consumer Cyclical,Restaurants
EVI,Industrials,Industrial Distribution
MOD,Consumer Cyclical,Auto Parts
CLMB,Technology,Electronics & Computer Distribution
EBTC,Financial Services,Banks—Regional
CENT,Consumer Defensive,Packaged Foods
BHRB,Financial Services,Banks—Regional
ITW,Industrials,Specialty Industrial Machinery
LCII,Consumer Cyclical,Recreational Vehicles
COHU,Technology,Semiconductor Equipment & Materials
GEFB,Other,Other
VCTR,Financial Services,Asset Management
BKSY,Technology,Scientific & Technical Instruments
CIX,Industrials,Security & Protection Services
TSE,Basic Materials,Specialty Chemicals
HL,Basic Materials,Other Precious Metals & Mining
PLTR,Technology,Software—Infrastructure
SVC,Real Estate,REIT—Hotel & Motel
DAN,Consumer Cyclical,Auto Parts
TSBK,Financial Services,Banks—Regional
ERII,Industrials,Pollution & Treatment Controls
PNRG,Energy,Oil & Gas E&P
RSVR,Communication Services,Entertainment
CSGS,Technology,Software—Infrastructure
NBTB,Financial Services,Banks—Regional
IOSP,Basic Materials,Specialty Chemicals
VIGL,Healthcare,Biotechnology
CRMT,Consumer Cyclical,Auto & Truck Dealerships
NGVC,Consumer Defensive,Grocery Stores
ARLO,Industrials,Building Products & Equipment
ALTG,Industrials,Rental & Leasing Services
FRSH,Technology,Software—Application
CINF,Financial Services,Insurance—Property & Casualty
RHP,Real Estate,REIT—Hotel & Motel
NPK,Industrials,Aerospace & Defense
MTH,Consumer Cyclical,Residential Construction
BORR,Energy,Oil & Gas Drilling
IP,Consumer Cyclical,Packaging & Containers
CATY,Financial Services,Banks—Regional
OPK,Healthcare,Diagnostics & Research
ARTNA,Utilities,Utilities—Regulated Water
CMCO,Industrials,Farm & Heavy Construction Machinery
FTAI,Industrials,Rental & Leasing Services
GOCO,Financial Services,Insurance Brokers
AFL,Financial Services,Insurance—Life
OII,Energy,Oil & Gas Equipment & Services
SXC,Basic Materials,Coking Coal
DNLI,Healthcare,Biotechnology
COGT,Healthcare,Biotechnology
GFS,Technology,Semiconductors
BBSI,Industrials,Staffing & Employment Services
DGICA,Financial Services,Insurance—Property & Casualty
COFS,Financial Services,Banks—Regional
UHT,Real Estate,REIT—Healthcare Facilities
WS,Basic Materials,Steel
CTRA,Energy,Oil & Gas E&P
SWKH,Financial Services,Asset Management
KDP,Consumer Defensive,Beverages—Non-Alcoholic
SSP,Communication Services,Broadcasting
FVCB,Financial Services,Banks—Regional
KIM,Real Estate,REIT—Retail
BUSE,Financial Services,Banks—Regional
DASH,Communication Services,Internet Content & Information
BMBL,Technology,Software—Application
TEX,Industrials,Farm & Heavy Construction Machinery
TNK,Energy,Oil & Gas Midstream
CMBM,Technology,Communication Equipment
PINE,Real Estate,REIT—Retail
KGS,Energy,Oil & Gas Equipment & Services
RVTY,Healthcare,Diagnostics & Research
GLRE,Financial Services,Insurance—Reinsurance
VPG,Technology,Scientific & Technical Instruments
AMPS,Utilities,Utilities—Renewable
PDSB,Healthcare,Biotechnology
RIOT,Financial Services,Capital Markets
PDLB,Financial Services,Banks—Regional
PRCT,Healthcare,Medical Devices
TCBK,Financial Services,Banks—Regional
BEN,Financial Services,Asset Management
SKYT,Technology,Semiconductors
CARS,Consumer Cyclical,Auto & Truck Dealerships
EYE,Consumer Cyclical,Specialty Retail
NWBI,Financial Services,Banks—Regional
AGIO,Healthcare,Biotechnology
STRL,Industrials,Engineering & Construction
MASS,Healthcare,Medical Devices
WALD,Consumer Defensive,Household & Personal Products
LPG,Energy,Oil & Gas Midstream
TMDX,Healthcare,Medical Devices
HIG,Financial Services,Insurance—Property & Casualty
PACK,Consumer Cyclical,Packaging & Containers
XPOF,Consumer Cyclical,Leisure
SLB,Energy,Oil & Gas Equipment & Services
ENSG,Healthcare,Medical Care Facilities
MFA,Real Estate,REIT—Mortgage
BAC,Financial Services,Banks—Diversified
EGBN,Financial Services,Banks—Regional
AVNW,Technology,Communication Equipment
STGW,Communication Services,Advertising Agencies
BCOV,Technology,Software—Application
CRCT,Technology,Computer Hardware
BMRC,Financial Services,Banks—Regional
CRAI,Industrials,Consulting Services
ESSA,Financial Services,Banks—Regional
BXMT,Real Estate,REIT—Mortgage
INN,Real Estate,REIT—Hotel & Motel
MCFT,Consumer Cyclical,Recreational Vehicles
DDD,Technology,Computer Hardware
MAX,Communication Services,Internet Content & Information
ALTI,Financial Services,Asset Management
MSI,Technology,Communication Equipment
CMAX,Healthcare,Health Information Services
ARWR,Healthcare,Biotechnology
MCS,Communication Services,Entertainment
NDAQ,Financial Services,Financial Data & Stock Exchanges
TECH,Healthcare,Biotechnology
ATNM,Healthcare,Biotechnology
AKRO,Healthcare,Biotechnology
PKE,Industrials,Aerospace & Defense
TPB,Consumer Defensive,Tobacco
FIBK,Financial Services,Banks—Regional
ERAS,Healthcare,Biotechnology
XPER,Technology,Software—Application
MAS,Industrials,Building Products & Equipment
NAVI,Financial Services,Credit Services
REVG,Industrials,Farm & Heavy Construction Machinery
SRI,Consumer Cyclical,Auto Parts
CIFR,Financial Services,Capital Markets
HI,Industrials,Specialty Industrial Machinery
JBSS,Consumer Defensive,Packaged Foods
LBRT,Energy,Oil & Gas Equipment & Services
SCLX,Healthcare,Drug Manufacturers—General
CRS,Industrials,Metal Fabrication
WVE,Healthcare,Biotechnology
EVRG,Utilities,Utilities—Regulated Electric
AEO,Consumer Cyclical,Apparel Retail
