Ticker,Sector,Industry
ELF,Consumer Defensive,Household & Personal Products
ROK,Industrials,Specialty Industrial Machinery
SHAK,Consumer Cyclical,Restaurants
EYEN,Healthcare,Biotechnology
GRBK,Consumer Cyclical,Residential Construction
WLFC,Industrials,Rental & Leasing Services
BLNK,Industrials,Engineering & Construction
CASH,Financial Services,Banks—Regional
TCX,Technology,Software—Infrastructure
TNGX,Healthcare,Biotechnology
RAMP,Technology,Software—Infrastructure
OMGA,Healthcare,Biotechnology
LIVN,Healthcare,Medical Devices
THS,Consumer Defensive,Packaged Foods
HONE,Financial Services,Banks—Regional
UNFI,Consumer Defensive,Food Distribution
GOLF,Consumer Cyclical,Leisure
BCO,Industrials,Security & Protection Services
NTCT,Technology,Software—Infrastructure
PD,Technology,Software—Application
PECO,Real Estate,REIT—Retail
FET,Energy,Oil & Gas Equipment & Services
NUE,Basic Materials,Steel
PLCE,Consumer Cyclical,Apparel Manufacturing
CB,Financial Services,Insurance—Property & Casualty
CCOI,Communication Services,Telecom Services
NSIT,Technology,Electronics & Computer Distribution
WOR,Industrials,Metal Fabrication
AROW,Financial Services,Banks—Regional
AVB,Real Estate,REIT—Residential
PAHC,Healthcare,Drug Manufacturers—Specialty & Generic
GLT,Basic Materials,Paper & Paper Products
UPBD,Technology,Software—Application
DUK,Utilities,Utilities—Regulated Electric
BATRK,Communication Services,Entertainment
PX,Financial Services,Asset Management
UTI,Consumer Defensive,Education & Training Services
SNA,Industrials,Tools & Accessories
NUS,Consumer Defensive,Household & Personal Products
LUNA,Technology,Scientific & Technical Instruments
THFF,Financial Services,Banks—Regional
TELL,Energy,Oil & Gas E&P
FLWS,Consumer Cyclical,Specialty Retail
GL,Financial Services,Insurance—Life
BCBP,Financial Services,Banks—Regional
USPH,Healthcare,Medical Care Facilities
LE,Consumer Cyclical,Apparel Retail
MELI,Consumer Cyclical,Internet Retail
EBS,Healthcare,Drug Manufacturers—Specialty & Generic
CLNE,Energy,Oil & Gas Refining & Marketing
BBUC,Financial Services,Asset Management
ATO,Utilities,Utilities—Regulated Gas
CUE,Healthcare,Biotechnology
FLNG,Energy,Oil & Gas Midstream
NRC,Healthcare,Health Information Services
RGCO,Utilities,Utilities—Regulated Gas
UNF,Industrials,Specialty Business Services
XRX,Technology,Information Technology Services
RDW,Industrials,Aerospace & Defense
ICE,Financial Services,Financial Data & Stock Exchanges
ACEL,Consumer Cyclical,Gambling
INSM,Healthcare,Biotechnology
IMAX,Communication Services,Entertainment
FMAO,Financial Services,Banks—Regional
CLX,Consumer Defensive,Household & Personal Products
TRNO,Real Estate,REIT—Industrial
NN,Technology,Software—Infrastructure
SGH,Technology,Semiconductors
EP,Energy,Oil & Gas E&P
WTW,Financial Services,Insurance Brokers
ATSG,Industrials,Airlines
COMP,Real Estate,Real Estate Services
ARQT,Healthcare,Biotechnology
SONO,Technology,Consumer Electronics
VMC,Basic Materials,Building Materials
DLR,Real Estate,REIT—Specialty
LMT,Industrials,Aerospace & Defense
ALIT,Technology,Software—Application
LQDA,Healthcare,Biotechnology
ALEX,Real Estate,REIT—Retail
ALHC,Healthcare,Healthcare Plans
AMRC,Industrials,Engineering & Construction
AGYS,Technology,Software—Application
GERN,Healthcare,Biotechnology
HCAT,Healthcare,Health Information Services
MOGA,Other,Other
CUTR,Healthcare,Medical Devices
HIPO,Financial Services,Insurance—Specialty
REX,Basic Materials,Chemicals
TWI,Industrials,Farm & Heavy Construction Machinery
BALY,Consumer Cyclical,Resorts & Casinos
EVCM,Technology,Software—Infrastructure
LFST,Healthcare,Medical Care Facilities
NOC,Industrials,Aerospace & Defense
HFWA,Financial Services,Banks—Regional
SPTN,Consumer Defensive,Food Distribution
ASIX,Basic Materials,Chemicals
NEXT,Energy,Oil & Gas E&P
ALDX,Healthcare,Biotechnology
K,Consumer Defensive,Packaged Foods
MTCH,Communication Services,Internet Content & Information
FDX,Industrials,Integrated Freight & Logistics
FIX,Industrials,Engineering & Construction
CAKE,Consumer Cyclical,Restaurants
LMB,Industrials,Building Products & Equipment
OVLY,Financial Services,Banks—Regional
CSWI,Industrials,Specialty Industrial Machinery
CWH,Consumer Cyclical,Auto & Truck Dealerships
MDXG,Healthcare,Biotechnology
MLR,Consumer Cyclical,Auto Parts
VRTX,Healthcare,Biotechnology
ARDX,Healthcare,Biotechnology
FOSL,Consumer Cyclical,Footwear & Accessories
GIII,Consumer Cyclical,Apparel Manufacturing
AMPL,Technology,Software—Application
ARIS,Utilities,Utilities—Regulated Water
YUM,Consumer Cyclical,Restaurants
CMRE,Industrials,Marine Shipping
TDUP,Consumer Cyclical,Internet Retail
AX,Financial Services,Banks—Regional
PDD,Consumer Cyclical,Internet Retail
SCPH,Healthcare,Biotechnology
DDS,Consumer Cyclical,Department Stores
SKT,Real Estate,REIT—Retail
REZI,Industrials,Industrial Distribution
EOLS,Healthcare,Drug Manufacturers—Specialty & Generic
IVR,Real Estate,REIT—Mortgage
ARR,Real Estate,REIT—Mortgage
NBN,Financial Services,Banks—Regional
PHAT,Healthcare,Biotechnology
CBRE,Real Estate,Real Estate Services
OSBC,Financial Services,Banks—Regional
IDYA,Healthcare,Biotechnology
TGT,Consumer Defensive,Discount Stores
KRT,Consumer Cyclical,Packaging & Containers
FG,Financial Services,Insurance—Life
FELE,Industrials,Specialty Industrial Machinery
GD,Industrials,Aerospace & Defense
CBRL,Consumer Cyclical,Restaurants
VTYX,Healthcare,Biotechnology
PL,Industrials,Aerospace & Defense
GCBC,Financial Services,Banks—Regional
DFIN,Technology,Software—Application
DEI,Real Estate,REIT—Office
IFF,Basic Materials,Specialty Chemicals
HAL,Energy,Oil & Gas Equipment & Services
ZBH,Healthcare,Medical Devices
OSW,Consumer Cyclical,Leisure
EVBG,Other,Other
ABUS,Healthcare,Biotechnology
DE,Industrials,Farm & Heavy Construction Machinery
FBK,Financial Services,Banks—Regional
PCVX,Healthcare,Biotechnology
PEBO,Financial Services,Banks—Regional
NRIM,Financial Services,Banks—Regional
PNM,Other,Other
NGVT,Basic Materials,Specialty Chemicals
SEER,Healthcare,Biotechnology
EVC,Communication Services,Advertising Agencies
O,Real Estate,REIT—Retail
LMAT,Healthcare,Medical Instruments & Supplies
BLFS,Healthcare,Medical Instruments & Supplies
QIPT,Healthcare,Medical Devices
PIII,Healthcare,Medical Care Facilities
CLAR,Consumer Cyclical,Leisure
HBCP,Financial Services,Banks—Regional
AXGN,Healthcare,Medical Devices
MXL,Technology,Semiconductors
SLAB,Technology,Semiconductors
WLLBW,Energy,Oil & Gas E&P
ORC,Real Estate,REIT—Mortgage
ACCD,Healthcare,Health Information Services
AKTS,Technology,Communication Equipment
JJSF,Consumer Defensive,Packaged Foods
SITM,Technology,Semiconductors
CMPR,Industrials,Specialty Business Services
BE,Industrials,Electrical Equipment & Parts
IBCP,Financial Services,Banks—Regional
GLDD,Industrials,Engineering & Construction
ORLY,Consumer Cyclical,Specialty Retail
BANR,Financial Services,Banks—Regional
DHX,Technology,Software—Application
SDGR,Healthcare,Health Information Services
JOBY,Industrials,Airports & Air Services
TXT,Industrials,Aerospace & Defense
APPF,Technology,Software—Application
BFC,Financial Services,Banks—Regional
CARG,Consumer Cyclical,Auto & Truck Dealerships
CADE,Financial Services,Banks—Regional
PLOW,Consumer Cyclical,Auto Parts
CME,Financial Services,Financial Data & Stock Exchanges
CMP,Basic Materials,Other Industrial Metals & Mining
LADR,Real Estate,REIT—Mortgage
CTSH,Technology,Information Technology Services
UMH,Real Estate,REIT—Residential
GOGO,Communication Services,Telecom Services
STE,Healthcare,Medical Devices
PRAA,Financial Services,Credit Services
KOS,Energy,Oil & Gas E&P
NNOX,Healthcare,Medical Devices
MAR,Consumer Cyclical,Lodging
PARA,Communication Services,Entertainment
KRNY,Financial Services,Banks—Regional
CWST,Industrials,Waste Management
CZFS,Financial Services,Banks—Regional
C,Financial Services,Banks—Diversified
CALX,Technology,Software—Infrastructure
AWK,Utilities,Utilities—Regulated Water
ALE,Utilities,Utilities—Diversified
TTD,Technology,Software—Application
HBI,Consumer Cyclical,Apparel Manufacturing
SPT,Technology,Software—Application
BLKB,Technology,Software—Application
CDZI,Utilities,Utilities—Regulated Water
PGC,Financial Services,Banks—Regional
BRO,Financial Services,Insurance Brokers
AMRK,Financial Services,Capital Markets
TILE,Industrials,Building Products & Equipment
UONE,Communication Services,Broadcasting
HST,Real Estate,REIT—Hotel & Motel
ZVIA,Consumer Defensive,Beverages—Non-Alcoholic
DOC,Real Estate,REIT—Healthcare Facilities
D,Utilities,Utilities—Regulated Electric
CHMG,Financial Services,Banks—Regional
EMN,Basic Materials,Specialty Chemicals
THR,Industrials,Specialty Industrial Machinery
OCUL,Healthcare,Biotechnology
DTC,Consumer Cyclical,Internet Retail
AMRX,Healthcare,Drug Manufacturers—Specialty & Generic
MS,Financial Services,Capital Markets
JOUT,Consumer Cyclical,Leisure
INTC,Technology,Semiconductors
OSPN,Technology,Software—Infrastructure
IDCC,Technology,Software—Application
PSA,Real Estate,REIT—Industrial
NIC,Financial Services,Banks—Regional
RNA,Healthcare,Biotechnology
PLUS,Technology,Software—Application
CASS,Industrials,Specialty Business Services
BRY,Energy,Oil & Gas E&P
CVS,Healthcare,Healthcare Plans
PFG,Financial Services,Asset Management
KRO,Basic Materials,Specialty Chemicals
HSIC,Healthcare,Medical Distribution
WST,Healthcare,Medical Instruments & Supplies
APPS,Technology,Software—Application
RTX,Industrials,Aerospace & Defense
EXPO,Industrials,Engineering & Construction
NWE,Utilities,Utilities—Regulated Electric
A,Healthcare,Diagnostics & Research
IAUX,Basic Materials,Gold
DHR,Healthcare,Diagnostics & Research
ZUMZ,Consumer Cyclical,Apparel Retail
GNE,Utilities,Utilities—Regulated Electric
ANSS,Technology,Software—Application
IVT,Real Estate,REIT—Retail
ALRM,Technology,Software—Application
CHRS,Healthcare,Biotechnology
FFIV,Technology,Software—Infrastructure
MTX,Basic Materials,Specialty Chemicals
EB,Technology,Software—Application
ILMN,Healthcare,Diagnostics & Research
MSCI,Financial Services,Financial Data & Stock Exchanges
XFOR,Healthcare,Biotechnology
AHCO,Healthcare,Medical Devices
BKKT,Technology,Software—Infrastructure
TALO,Energy,Oil & Gas E&P
BWA,Consumer Cyclical,Auto Parts
LW,Consumer Defensive,Packaged Foods
IBP,Consumer Cyclical,Residential Construction
BG,Consumer Defensive,Farm Products
STAA,Healthcare,Medical Instruments & Supplies
ACAD,Healthcare,Biotechnology
CCNE,Financial Services,Banks—Regional
JNPR,Technology,Communication Equipment
ANET,Technology,Computer Hardware
CPE,Other,Other
FCX,Basic Materials,Copper
INGN,Healthcare,Medical Devices
EOG,Energy,Oil & Gas E&P
GPI,Consumer Cyclical,Auto & Truck Dealerships
T,Communication Services,Telecom Services
MSTR,Technology,Software—Application
EXFY,Technology,Software—Application
SFST,Financial Services,Banks—Regional
UFPI,Basic Materials,Lumber & Wood Production
LBAI,Financial Services,Banks—Regional
GIS,Consumer Defensive,Packaged Foods
CBL,Real Estate,REIT—Retail
PTSI,Industrials,Trucking
VRE,Real Estate,REIT—Residential
FISI,Financial Services,Banks—Regional
POWW,Industrials,Aerospace & Defense
STR,Energy,Oil & Gas E&P
AMTM,Industrials,Specialty Business Services
OTLK,Healthcare,Biotechnology
CPB,Consumer Defensive,Packaged Foods
XAIR,Healthcare,Medical Devices
BBY,Consumer Cyclical,Specialty Retail
ACGL,Financial Services,Insurance—Diversified
MOS,Basic Materials,Agricultural Inputs
DLTH,Consumer Cyclical,Apparel Retail
SPGI,Financial Services,Financial Data & Stock Exchanges
TRMB,Technology,Scientific & Technical Instruments
CHRD,Energy,Oil & Gas E&P
HBIO,Healthcare,Medical Instruments & Supplies
MDC,Other,Other
KALV,Healthcare,Biotechnology
AVAV,Industrials,Aerospace & Defense
XOMA,Healthcare,Biotechnology
REI,Energy,Oil & Gas E&P
QTWO,Technology,Software—Application
ARL,Real Estate,Real Estate Services
LNTH,Healthcare,Drug Manufacturers—Specialty & Generic
APD,Basic Materials,Specialty Chemicals
CDW,Technology,Information Technology Services
SBOW,Other,Other
TSLA,Consumer Cyclical,Auto Manufacturers
WTTR,Energy,Oil & Gas Equipment & Services
TGH,Other,Other
CYTK,Healthcare,Biotechnology
ORCL,Technology,Software—Infrastructure
PKBK,Financial Services,Banks—Regional
MURA,Healthcare,Biotechnology
NR,Energy,Oil & Gas Equipment & Services
WEC,Utilities,Utilities—Regulated Electric
NKSH,Financial Services,Banks—Regional
VLGEA,Consumer Defensive,Grocery Stores
CHUY,Consumer Cyclical,Restaurants
ASAN,Technology,Software—Application
KFY,Industrials,Staffing & Employment Services
ACTG,Industrials,Business Equipment & Supplies
GLUE,Healthcare,Biotechnology
PRMW,Consumer Defensive,Beverages—Non-Alcoholic
VNDA,Healthcare,Biotechnology
GRNT,Energy,Oil & Gas E&P
BWMN,Industrials,Engineering & Construction
GKOS,Healthcare,Medical Devices
CVI,Energy,Oil & Gas Refining & Marketing
DRQ,Energy,Oil & Gas Equipment & Services
LUMN,Communication Services,Telecom Services
TER,Technology,Semiconductor Equipment & Materials
AGEN,Healthcare,Biotechnology
ASUR,Technology,Software—Application
BRKL,Financial Services,Banks—Regional
PUBM,Technology,Software—Application
INTT,Technology,Semiconductor Equipment & Materials
ALGN,Healthcare,Medical Instruments & Supplies
AMGN,Healthcare,Drug Manufacturers—General
DOCN,Technology,Software—Infrastructure
ITCI,Healthcare,Drug Manufacturers—Specialty & Generic
GES,Consumer Cyclical,Apparel Retail
XOM,Energy,Oil & Gas Integrated
CAL,Consumer Cyclical,Apparel Retail
BY,Financial Services,Banks—Regional
YMAB,Healthcare,Biotechnology
CTS,Technology,Electronic Components
ICFI,Industrials,Consulting Services
STRS,Real Estate,Real Estate—Diversified
JOE,Real Estate,Real Estate—Diversified
EXPE,Consumer Cyclical,Travel Services
ODC,Basic Materials,Specialty Chemicals
JBHT,Industrials,Integrated Freight & Logistics
CHGG,Consumer Defensive,Education & Training Services
CATO,Consumer Cyclical,Apparel Retail
OBT,Financial Services,Banks—Regional
SPNS,Technology,Software—Application
PRTH,Technology,Software—Infrastructure
FMNB,Financial Services,Banks—Regional
LH,Healthcare,Diagnostics & Research
CNTY,Consumer Cyclical,Resorts & Casinos
FSBC,Financial Services,Banks—Regional
SMMT,Healthcare,Biotechnology
AMK,Financial Services,Asset Management
KE,Industrials,Electrical Equipment & Parts
CWK,Real Estate,Real Estate Services
HES,Energy,Oil & Gas E&P
WTI,Energy,Oil & Gas E&P
PSMT,Consumer Defensive,Discount Stores
ROCK,Industrials,Building Products & Equipment
ROP,Technology,Software—Application
ED,Utilities,Utilities—Regulated Electric
VTOL,Energy,Oil & Gas Equipment & Services
TK,Energy,Oil & Gas Midstream
WRBY,Healthcare,Medical Instruments & Supplies
USLM,Basic Materials,Building Materials
VVX,Industrials,Aerospace & Defense
AMCR,Consumer Cyclical,Packaging & Containers
CLFD,Technology,Communication Equipment
SSD,Basic Materials,Lumber & Wood Production
PARR,Energy,Oil & Gas Refining & Marketing
FCCO,Financial Services,Banks—Regional
SPWH,Consumer Cyclical,Specialty Retail
BLDE,Industrials,Airports & Air Services
MTRN,Basic Materials,Other Industrial Metals & Mining
ALTM,Basic Materials,Specialty Chemicals
PWSC,Technology,Software—Application
IRMD,Healthcare,Medical Devices
TLYS,Consumer Cyclical,Apparel Retail
GTN,Communication Services,Broadcasting
PRME,Healthcare,Biotechnology
LOCO,Consumer Cyclical,Restaurants
SSTK,Communication Services,Internet Content & Information
COOK,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
HNRG,Energy,Thermal Coal
BCAB,Healthcare,Biotechnology
MBI,Financial Services,Insurance—Specialty
NXPI,Technology,Semiconductors
NKTX,Healthcare,Biotechnology
RLYB,Healthcare,Biotechnology
SST,Industrials,Specialty Business Services
ZD,Communication Services,Advertising Agencies
CHRW,Industrials,Integrated Freight & Logistics
APTV,Consumer Cyclical,Auto Parts
CBAY,Other,Other
JYNT,Healthcare,Medical Care Facilities
SNDX,Healthcare,Biotechnology
XYL,Industrials,Specialty Industrial Machinery
TMUS,Communication Services,Telecom Services
AVNS,Healthcare,Medical Devices
OTTR,Utilities,Utilities—Diversified
ODP,Consumer Cyclical,Specialty Retail
MXCT,Healthcare,Medical Devices
PKST,Real Estate,REIT—Office
SANA,Healthcare,Biotechnology
STEP,Financial Services,Asset Management
KRG,Real Estate,REIT—Retail
PANL,Industrials,Marine Shipping
LXU,Basic Materials,Chemicals
MLP,Real Estate,Real Estate Services
HTLF,Financial Services,Banks—Regional
CBOE,Financial Services,Financial Data & Stock Exchanges
JBLU,Industrials,Airlines
TMO,Healthcare,Diagnostics & Research
IPSC,Healthcare,Biotechnology
CLPT,Healthcare,Medical Devices
AROC,Energy,Oil & Gas Equipment & Services
MGY,Energy,Oil & Gas E&P
AMSF,Financial Services,Insurance—Specialty
CE,Basic Materials,Chemicals
MMSI,Healthcare,Medical Instruments & Supplies
ALPN,Other,Other
STNE,Technology,Software—Infrastructure
BW,Industrials,Specialty Industrial Machinery
OMC,Communication Services,Advertising Agencies
CDNA,Healthcare,Diagnostics & Research
GEF,Consumer Cyclical,Packaging & Containers
VLO,Energy,Oil & Gas Refining & Marketing
EGAN,Technology,Software—Application
EPAC,Industrials,Specialty Industrial Machinery
CERS,Healthcare,Medical Devices
LBPH,Healthcare,Biotechnology
BOC,Industrials,Conglomerates
HMN,Financial Services,Insurance—Property & Casualty
JMSB,Financial Services,Banks—Regional
OGS,Utilities,Utilities—Regulated Gas
NVDA,Technology,Semiconductors
MEI,Technology,Electronic Components
NBR,Energy,Oil & Gas Drilling
WEYS,Consumer Cyclical,Footwear & Accessories
UNIT,Real Estate,REIT—Specialty
WAB,Industrials,Railroads
RRR,Consumer Cyclical,Resorts & Casinos
HPQ,Technology,Computer Hardware
UNP,Industrials,Railroads
EOSE,Industrials,Electrical Equipment & Parts
LZB,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
REPL,Healthcare,Biotechnology
SILK,Healthcare,Medical Devices
PEB,Real Estate,REIT—Hotel & Motel
LUV,Industrials,Airlines
CMPO,Industrials,Metal Fabrication
FNLC,Financial Services,Banks—Regional
EWCZ,Consumer Defensive,Household & Personal Products
TT,Industrials,Building Products & Equipment
INNV,Healthcare,Medical Care Facilities
WD,Financial Services,Mortgage Finance
AAPL,Technology,Consumer Electronics
LIND,Consumer Cyclical,Travel Services
LEN,Consumer Cyclical,Residential Construction
NOW,Technology,Software—Application
HNI,Industrials,Business Equipment & Supplies
MSGE,Consumer Cyclical,Leisure
RMD,Healthcare,Medical Instruments & Supplies
IMKTA,Consumer Defensive,Grocery Stores
HCA,Healthcare,Medical Care Facilities
BAX,Healthcare,Medical Instruments & Supplies
PAX,Financial Services,Asset Management
CLB,Energy,Oil & Gas Equipment & Services
IMRX,Healthcare,Biotechnology
ICHR,Technology,Semiconductor Equipment & Materials
HUM,Healthcare,Healthcare Plans
IBOC,Financial Services,Banks—Regional
PNR,Industrials,Specialty Industrial Machinery
BRZE,Technology,Software—Application
URBN,Consumer Cyclical,Apparel Retail
DEA,Real Estate,REIT—Office
AMBC,Financial Services,Insurance—Specialty
NWPX,Industrials,Metal Fabrication
VRCA,Healthcare,Biotechnology
MLAB,Technology,Scientific & Technical Instruments
ASPN,Industrials,Building Products & Equipment
PRGS,Technology,Software—Infrastructure
ARVN,Healthcare,Biotechnology
ALG,Industrials,Farm & Heavy Construction Machinery
SYBT,Financial Services,Banks—Regional
BKNG,Consumer Cyclical,Travel Services
LUNG,Healthcare,Medical Devices
CVRX,Healthcare,Medical Devices
ETNB,Healthcare,Biotechnology
LTH,Consumer Cyclical,Leisure
SUM,Basic Materials,Building Materials
TTMI,Technology,Electronic Components
BOH,Financial Services,Banks—Regional
EIX,Utilities,Utilities—Regulated Electric
CNSL,Communication Services,Telecom Services
HLVX,Healthcare,Biotechnology
BOOT,Consumer Cyclical,Apparel Retail
FL,Consumer Cyclical,Apparel Retail
DVA,Healthcare,Medical Care Facilities
BRSP,Real Estate,REIT—Mortgage
RC,Real Estate,REIT—Mortgage
ENS,Industrials,Electrical Equipment & Parts
WEAV,Healthcare,Health Information Services
CMC,Basic Materials,Steel
NSP,Industrials,Staffing & Employment Services
MCD,Consumer Cyclical,Restaurants
ALKS,Healthcare,Drug Manufacturers—Specialty & Generic
AVA,Utilities,Utilities—Diversified
ALLK,Healthcare,Biotechnology
FUL,Basic Materials,Specialty Chemicals
AMKR,Technology,Semiconductor Equipment & Materials
PMT,Real Estate,REIT—Mortgage
SANM,Technology,Electronic Components
CIM,Real Estate,REIT—Mortgage
OLO,Technology,Software—Application
IPI,Basic Materials,Agricultural Inputs
BPMC,Healthcare,Biotechnology
BLUE,Healthcare,Biotechnology
PFSI,Financial Services,Mortgage Finance
TERN,Healthcare,Biotechnology
SNPO,Other,Other
HYLN,Consumer Cyclical,Auto Parts
CVLY,Other,Other
MBIN,Financial Services,Banks—Regional
ZIMV,Healthcare,Medical Devices
CNOB,Financial Services,Banks—Regional
AGS,Consumer Cyclical,Gambling
WLLAW,Other,Other
NRG,Utilities,Utilities—Independent Power Producers
AEP,Utilities,Utilities—Regulated Electric
BGXX,Healthcare,Drug Manufacturers—Specialty & Generic
WRB,Financial Services,Insurance—Property & Casualty
PBF,Energy,Oil & Gas Refining & Marketing
DGX,Healthcare,Diagnostics & Research
FTCI,Technology,Solar
STHO,Real Estate,Real Estate Services
FFIN,Financial Services,Banks—Regional
SOLV,Healthcare,Health Information Services
BRP,Other,Other
ICVX,Other,Other
CNC,Healthcare,Healthcare Plans
LRMR,Healthcare,Biotechnology
OUT,Real Estate,REIT—Specialty
VLY,Financial Services,Banks—Regional
GBX,Industrials,Railroads
MNRO,Consumer Cyclical,Auto Parts
PAYS,Technology,Software—Infrastructure
VSEC,Industrials,Aerospace & Defense
HSHP,Industrials,Marine Shipping
SNFCA,Financial Services,Mortgage Finance
SBSI,Financial Services,Banks—Regional
DXLG,Consumer Cyclical,Apparel Retail
SHLS,Technology,Solar
SHYF,Industrials,Farm & Heavy Construction Machinery
SHEN,Communication Services,Telecom Services
FIHL,Financial Services,Insurance—Diversified
LAND,Real Estate,REIT—Specialty
PTC,Technology,Software—Application
BV,Industrials,Specialty Business Services
TSN,Consumer Defensive,Farm Products
AWR,Utilities,Utilities—Regulated Water
RCUS,Healthcare,Biotechnology
TMP,Financial Services,Banks—Regional
CVCO,Consumer Cyclical,Residential Construction
UFPT,Healthcare,Medical Devices
PLD,Real Estate,REIT—Industrial
EXPI,Real Estate,Real Estate Services
CMTL,Technology,Communication Equipment
FCFS,Financial Services,Credit Services
NRDY,Technology,Software—Application
FMBH,Financial Services,Banks—Regional
UCTT,Technology,Semiconductor Equipment & Materials
RM,Financial Services,Credit Services
AMWD,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
MLI,Industrials,Metal Fabrication
HBNC,Financial Services,Banks—Regional
SGHT,Healthcare,Medical Devices
VERA,Healthcare,Biotechnology
GE,Industrials,Aerospace & Defense
EVH,Healthcare,Health Information Services
ESE,Technology,Scientific & Technical Instruments
HRTX,Healthcare,Biotechnology
ALLE,Industrials,Security & Protection Services
HPE,Technology,Communication Equipment
SPNT,Financial Services,Insurance—Reinsurance
ALKT,Technology,Software—Application
PWP,Financial Services,Capital Markets
CRM,Technology,Software—Application
NE,Energy,Oil & Gas Drilling
BRBS,Financial Services,Banks—Regional
ALRS,Financial Services,Banks—Regional
HBT,Financial Services,Banks—Regional
LILA,Communication Services,Telecom Services
PRTS,Consumer Cyclical,Auto Parts
MET,Financial Services,Insurance—Life
DCGO,Healthcare,Medical Care Facilities
UHG,Consumer Cyclical,Residential Construction
ACRS,Healthcare,Diagnostics & Research
VHI,Basic Materials,Chemicals
STRA,Consumer Defensive,Education & Training Services
